star,hjd,dv,err
EKDRA,2450807.04473,+0.052,0.003
EKDRA,2450807.04839,+0.055,0.004
EKDRA,2450807.05207,+0.053,0.002
EKDRA,2450810.03601,+0.073,0.003
EKDRA,2450810.03966,+0.076,0.001
EKDRA,2450810.04330,+0.075,0.003
EKDRA,2450814.02504,+0.079,0.002
EKDRA,2450814.02870,+0.082,0.001
EKDRA,2450814.03237,+0.080,0.002
EKDRA,2450815.02232,+0.049,0.002
EKDRA,2450815.02600,+0.049,0.002
EKDRA,2450815.02968,+0.049,0.002
EKDRA,2450816.01966,+0.126,0.002
EKDRA,2450816.02333,+0.122,0.002
EKDRA,2450816.02700,+0.124,0.002
EKDRA,2450820.00886,+0.048,0.003
EKDRA,2450820.01254,+0.043,0.001
EKDRA,2450820.01619,+0.039,0.005
EKDRA,2450821.00617,+0.111,0.002
EKDRA,2450821.00984,+0.115,0.004
EKDRA,2450821.01353,+0.117,0.002
EKDRA,2450822.00520,+0.081,0.011
EKDRA,2450823.00074,+0.041,0.001
EKDRA,2450823.00442,+0.046,0.002
EKDRA,2450823.00810,+0.048,0.003
EKDRA,2450823.99809,+0.131,0.002
EKDRA,2450824.00176,+0.130,0.001
EKDRA,2450824.00541,+0.134,0.002
EKDRA,2450825.99271,+0.079,0.003
EKDRA,2450825.99636,+0.081,0.000
EKDRA,2450826.00002,+0.084,0.002
EKDRA,2450827.98727,+0.036,0.003
EKDRA,2450827.99095,+0.040,0.003
EKDRA,2450827.99462,+0.040,0.002
EKDRA,2450828.98456,+0.113,0.004
EKDRA,2450828.98824,+0.113,0.003
EKDRA,2450828.99194,+0.113,0.002
EKDRA,2450829.98923,+0.090,0.003
EKDRA,2450830.97689,+0.052,0.003
EKDRA,2450830.98058,+0.052,0.002
EKDRA,2450830.98426,+0.048,0.002
EKDRA,2450831.97411,+0.121,0.003
EKDRA,2450831.97779,+0.118,0.003
EKDRA,2450831.98145,+0.119,0.003
EKDRA,2450833.97787,+0.092,0.002
EKDRA,2450835.96560,+0.044,0.001
EKDRA,2450835.96927,+0.043,0.001
EKDRA,2450835.97296,+0.043,0.001
EKDRA,2450836.96291,+0.120,0.002
EKDRA,2450836.96658,+0.121,0.001
EKDRA,2450836.97023,+0.120,0.002
EKDRA,2450837.96020,+0.074,0.002
EKDRA,2450837.96387,+0.076,0.001
EKDRA,2450837.96755,+0.077,0.003
EKDRA,2450838.95762,+0.070,0.002
EKDRA,2450838.96131,+0.067,0.002
EKDRA,2450838.96498,+0.068,0.001
EKDRA,2450839.95474,+0.109,0.002
EKDRA,2450839.95839,+0.113,0.001
EKDRA,2450839.96205,+0.111,0.002
EKDRA,2450840.95200,+0.035,0.020
EKDRA,2450840.95567,+0.046,0.007
EKDRA,2450840.95934,+0.047,0.011
EKDRA,2450841.94941,+0.104,0.002
EKDRA,2450841.95308,+0.109,0.002
EKDRA,2450841.95673,+0.102,0.001
EKDRA,2450842.94663,+0.083,0.001
EKDRA,2450842.95030,+0.081,0.002
EKDRA,2450842.95396,+0.083,0.001
EKDRA,2450843.94395,+0.049,0.002
EKDRA,2450843.94763,+0.055,0.003
EKDRA,2450843.95128,+0.054,0.003
EKDRA,2450846.93581,+0.093,0.003
EKDRA,2450846.93947,+0.087,0.002
EKDRA,2450846.94313,+0.082,0.003
EKDRA,2450847.93306,+0.101,0.003
EKDRA,2450847.93671,+0.097,0.003
EKDRA,2450847.94036,+0.095,0.005
EKDRA,2450850.92496,+0.077,0.007
EKDRA,2450850.92861,+0.066,0.020
EKDRA,2450850.93230,+0.068,0.002
EKDRA,2450852.91950,+0.119,0.004
EKDRA,2450852.92315,+0.119,0.003
EKDRA,2450852.92680,+0.124,0.002
EKDRA,2450855.91032,+0.081,0.002
EKDRA,2450855.91398,+0.081,0.006
EKDRA,2450855.94009,+0.085,0.003
EKDRA,2450856.91008,+0.051,0.002
EKDRA,2450856.91372,+0.049,0.003
EKDRA,2450856.93391,+0.050,0.001
EKDRA,2450857.90589,+0.125,0.013
EKDRA,2450857.90954,+0.116,0.010
EKDRA,2450857.91321,+0.125,0.005
EKDRA,2450861.92492,+0.037,0.007
EKDRA,2450867.88059,+0.087,0.002
EKDRA,2450867.95745,+0.093,0.003
EKDRA,2450868.87371,+0.097,0.001
EKDRA,2450868.87738,+0.096,0.003
EKDRA,2450868.98238,+0.090,0.001
EKDRA,2450871.86528,+0.062,0.002
EKDRA,2450871.86894,+0.071,0.003
EKDRA,2450872.86463,+0.072,0.004
EKDRA,2450872.86829,+0.071,0.004
EKDRA,2450872.93881,+0.071,0.004
EKDRA,2450873.85959,+0.095,0.003
EKDRA,2450873.86324,+0.099,0.006
EKDRA,2450873.94028,+0.100,0.002
EKDRA,2450874.85648,+0.066,0.002
EKDRA,2450874.86012,+0.070,0.002
EKDRA,2450874.92356,+0.066,0.002
EKDRA,2450875.85470,+0.076,0.019
EKDRA,2450875.85836,+0.086,0.004
EKDRA,2450875.92009,+0.092,0.001
EKDRA,2450876.85526,+0.084,0.002
EKDRA,2450876.85892,+0.091,0.002
EKDRA,2450876.92938,+0.085,0.001
EKDRA,2450877.85092,+0.075,0.002
EKDRA,2450877.85458,+0.075,0.002
EKDRA,2450877.92292,+0.077,0.002
EKDRA,2450878.84573,+0.090,0.002
EKDRA,2450878.84939,+0.095,0.007
EKDRA,2450878.86465,+0.093,0.006
EKDRA,2450880.84075,+0.095,0.002
EKDRA,2450880.84441,+0.089,0.002
EKDRA,2450880.90619,+0.095,0.002
EKDRA,2450881.83789,+0.079,0.017
EKDRA,2450881.91861,+0.086,0.002
EKDRA,2450882.83582,+0.065,0.002
EKDRA,2450882.83948,+0.070,0.002
EKDRA,2450882.90971,+0.074,0.002
EKDRA,2450883.83330,+0.097,0.002
EKDRA,2450883.83696,+0.095,0.001
EKDRA,2450883.92090,+0.098,0.001
EKDRA,2450885.82708,+0.087,0.019
EKDRA,2450885.83076,+0.086,0.003
EKDRA,2450889.81705,+0.084,0.001
EKDRA,2450889.82072,+0.084,0.001
EKDRA,2450891.81065,+0.101,0.001
EKDRA,2450891.81431,+0.106,0.001
EKDRA,2450891.87604,+0.102,0.002
EKDRA,2450892.81013,+0.058,0.004
EKDRA,2450892.81380,+0.059,0.001
EKDRA,2450892.88441,+0.054,0.003
EKDRA,2450893.80594,+0.092,0.003
EKDRA,2450893.80960,+0.092,0.002
EKDRA,2450893.88213,+0.095,0.003
EKDRA,2450894.80448,+0.103,0.002
EKDRA,2450894.80813,+0.099,0.002
EKDRA,2450894.87811,+0.098,0.001
EKDRA,2450895.80249,+0.041,0.003
EKDRA,2450895.80617,+0.041,0.005
EKDRA,2450896.79928,+0.103,0.001
EKDRA,2450896.80296,+0.104,0.002
EKDRA,2450896.87132,+0.106,0.001
EKDRA,2450897.79532,+0.075,0.003
EKDRA,2450897.79897,+0.080,0.001
EKDRA,2450897.87296,+0.077,0.002
EKDRA,2450900.78639,+0.061,0.001
EKDRA,2450900.79007,+0.059,0.002
EKDRA,2450900.87119,+0.053,0.002
EKDRA,2450903.78193,+0.051,0.001
EKDRA,2450903.78561,+0.053,0.001
EKDRA,2450903.89960,+0.057,0.002
