HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err
2455969.17014,2012-02-11.6682775,bb,1.83,14.928,9.751,0.004,482.401,1.681
2455969.17182,2012-02-11.6699543,bb,1.83,14.956,9.799,0.004,461.809,1.600
2455976.14523,2012-02-18.6432929,bb,1.98,14.134,8.302,0.003,1832.858,5.228
2455976.14700,2012-02-18.6450627,bb,2.00,14.149,8.293,0.004,1847.503,7.638
2455980.15320,2012-02-22.6512333,bb,1.74,13.944,8.278,0.013,1872.544,22.338
2455980.15499,2012-02-22.6530190,bb,1.73,13.866,8.118,0.013,2170.390,25.862
2455984.15510,2012-02-26.6531127,bb,1.71,14.090,8.705,0.013,1264.502,14.519
2455984.15685,2012-02-26.6548644,bb,1.70,13.828,8.219,0.013,1978.724,23.297
2455989.11030,2012-03-02.6083011,bb,1.74,13.891,8.113,0.013,2181.715,25.137
2455989.11211,2012-03-02.6101056,bb,1.78,13.891,8.109,0.012,2189.939,25.162
2455997.11374,2012-03-10.6117631,bb,2.00,13.769,8.093,0.013,2220.552,26.301
2455997.11534,2012-03-10.6133563,bb,1.77,13.802,8.144,0.013,2120.309,24.446
2456001.11748,2012-03-14.6155210,bb,1.71,13.902,8.123,0.013,2161.679,25.034
2456001.11920,2012-03-14.6172406,bb,1.74,13.899,8.114,0.012,2180.287,23.645
2456014.05054,2012-03-27.5487114,bb,1.78,14.003,8.184,0.005,2043.100,10.302
2456014.05231,2012-03-27.5504733,bb,1.80,14.027,8.229,0.005,1959.936,9.813
2456018.05718,2012-03-31.5554072,bb,1.80,14.036,8.249,0.005,1924.432,9.382
2456018.05894,2012-03-31.5571712,bb,2.08,13.987,8.200,0.005,2013.528,9.933
2456022.06194,2012-04-04.5602315,bb,1.70,13.877,8.115,0.005,2177.833,9.366
2456022.06356,2012-04-04.5618548,bb,1.72,13.871,8.142,0.007,2122.413,12.743
2456026.06479,2012-04-08.5631637,bb,2.00,99.990,99.990,99.990,99.990,99.990
2456026.06634,2012-04-08.5647119,bb,2.12,13.643,8.244,0.007,1932.646,12.419
2456030.06945,2012-04-12.5679065,bb,1.66,14.525,9.286,0.006,740.590,3.897
2456030.07113,2012-04-12.5695879,bb,1.67,14.709,9.648,0.006,530.688,2.854
2456037.01252,2012-04-19.5111442,bb,1.83,13.685,8.054,0.007,2303.555,15.155
2456037.01421,2012-04-19.5128288,bb,1.75,13.909,8.263,0.006,1900.531,10.161
2456041.02168,2012-04-23.5204003,bb,2.00,14.035,8.243,0.004,1935.407,7.924
2456041.02344,2012-04-23.5221641,bb,2.00,14.020,8.211,0.005,1992.838,8.303
2456320.17096,2013-01-27.6693293,bb,2.37,13.937,8.000,0.003,2421.478,7.286
2456320.17254,2013-01-27.6709188,bb,2.38,13.947,8.008,0.003,2402.884,7.357
2456336.95804,2013-02-13.4561509,bb,2.13,13.934,8.060,0.003,2292.125,6.602
2456336.95982,2013-02-13.4579278,bb,2.16,13.913,8.015,0.003,2387.552,6.002
2456377.01770,2013-03-25.5158355,bb,2.17,13.973,8.087,0.003,2233.420,7.118
2456377.98929,2013-03-26.4874437,bb,1.85,13.944,8.085,0.003,2238.816,6.832
2456377.99086,2013-03-26.4890146,bb,1.94,13.966,8.139,0.003,2129.549,6.561
2456380.98964,2013-03-29.4878339,bb,2.17,14.042,8.177,0.004,2057.322,6.846
2456380.99124,2013-03-29.4894385,bb,2.15,14.042,8.174,0.004,2063.450,7.013
2456388.04621,2013-04-05.5445214,bb,1.77,13.856,7.980,0.003,2464.826,6.628
2456388.04794,2013-04-05.5462472,bb,1.78,13.871,8.010,0.003,2398.685,6.819
2456388.93435,2013-04-06.4326733,bb,1.81,13.933,8.181,0.005,2048.307,9.358
2456388.93580,2013-04-06.4341233,bb,1.91,14.033,8.239,0.006,1941.645,10.562
2456389.93114,2013-04-07.4294896,bb,2.00,14.046,8.181,0.003,2048.792,6.123
2456389.93259,2013-04-07.4309400,bb,2.01,14.040,8.168,0.003,2074.965,5.811
2456393.03049,2013-04-10.5288950,bb,2.01,13.955,8.037,0.003,2340.176,6.707
2456393.03194,2013-04-10.5303462,bb,2.01,13.939,7.999,0.003,2423.655,6.303
2456397.99696,2013-04-15.4954865,bb,1.99,13.910,8.035,0.003,2342.797,5.990
2456397.99842,2013-04-15.4969366,bb,2.00,13.898,7.999,0.003,2422.191,7.315
2456402.00900,2013-04-19.5076111,bb,2.07,13.992,8.113,0.003,2180.287,6.111
2456402.01044,2013-04-19.5090615,bb,2.09,13.986,8.102,0.003,2203.610,5.534
2456402.93804,2013-04-20.4366773,bb,2.01,14.026,8.146,0.004,2117.027,7.236
2456402.94003,2013-04-20.4386651,bb,2.02,14.060,8.220,0.004,1976.195,6.948
2456408.92141,2013-04-26.4202103,bb,1.98,13.952,8.102,0.004,2202.776,7.665
2456408.92322,2013-04-26.4220106,bb,1.98,13.947,8.091,0.005,2226.122,9.222
2456409.92950,2013-04-27.4283219,bb,1.69,14.032,8.218,0.004,1980.090,6.427
2456409.93134,2013-04-27.4301607,bb,1.79,13.982,8.122,0.004,2162.850,7.442
2456414.93286,2013-05-02.4318207,bb,1.76,13.954,8.057,0.003,2296.648,6.505
2456414.93484,2013-05-02.4338042,bb,1.92,13.934,8.023,0.003,2370.471,7.160
2456415.93095,2013-05-03.4299444,bb,1.85,14.016,8.113,0.003,2181.432,6.824
2456415.93303,2013-05-03.4320285,bb,1.76,14.018,8.116,0.003,2174.673,6.794
